Дата,Ваксина,Пол,Възрастова група,Брой заразени
2021/01/01,-,-,-,0
2021/01/02,-,-,-,0
2021/01/03,-,-,-,0
2021/01/04,-,-,-,0
2021/01/05,-,-,-,0
2021/01/06,-,-,-,0
2021/01/07,-,-,-,0
2021/01/08,-,-,-,0
2021/01/09,-,-,-,0
2021/01/10,-,-,-,0
2021/01/11,-,-,-,0
2021/01/12,-,-,-,0
2021/01/13,-,-,-,0
2021/01/14,-,-,-,0
2021/01/15,-,-,-,0
2021/01/16,-,-,-,0
2021/01/17,-,-,-,0
2021/01/18,-,-,-,0
2021/01/19,-,-,-,0
2021/01/20,-,-,-,0
2021/01/21,-,-,-,0
2021/01/22,-,-,-,0
2021/01/23,-,-,-,0
2021/01/24,-,-,-,0
2021/01/25,-,-,-,0
2021/01/26,-,-,-,0
2021/01/27,-,-,-,0
2021/01/28,-,-,-,0
2021/01/29,-,-,-,0
2021/01/30,-,-,-,0
2021/01/31,-,-,-,0
2021/02/01,-,-,-,0
2021/02/02,-,-,-,0
2021/02/03,-,-,-,0
2021/02/04,-,-,-,0
2021/02/05,-,-,-,0
2021/02/06,COM,Жена,50 - 59,1
2021/02/06,-,-,-,0
2021/02/08,-,-,-,0
2021/02/09,COM,Мъж,30 - 39,1
2021/02/09,-,-,-,0
2021/02/11,-,-,-,0
2021/02/12,-,-,-,0
2021/02/13,-,-,-,0
2021/02/14,-,-,-,0
2021/02/15,-,-,-,0
2021/02/16,-,-,-,0
2021/02/17,-,-,-,0
2021/02/18,COM,Жена,50 - 59,1
2021/02/18,COM,Мъж,70 - 79,1
2021/02/18,-,-,-,0
2021/02/19,COM,Жена,40 - 49,1
2021/02/21,-,-,-,0
2021/02/22,-,-,-,0
2021/02/23,COM,Жена,50 - 59,1
2021/02/23,-,-,-,0
2021/02/25,COM,Жена,60 - 69,2
2021/02/25,-,-,-,0
2021/02/26,COM,Жена,50 - 59,1
2021/02/26,COM,Мъж,60 - 69,1
2021/02/28,-,-,-,0
2021/03/01,-,-,-,0
2021/03/01,COM,Мъж,20 - 29,1
2021/03/01,COM,Жена,30 - 39,1
2021/03/02,COM,Жена,30 - 39,1
2021/03/04,-,-,-,0
2021/03/05,-,-,-,0
2021/03/05,COM,Жена,60 - 69,1
2021/03/06,COM,Мъж,50 - 59,1
2021/03/08,COM,Жена,60 - 69,1
2021/03/08,COM,Мъж,30 - 39,1
2021/03/08,COM,Жена,20 - 29,1
2021/03/08,-,-,-,0
2021/03/09,COM,Жена,40 - 49,1
2021/03/09,COM,Жена,30 - 39,1
2021/03/09,COM,Жена,50 - 59,1
2021/03/10,COM,Жена,60 - 69,1
2021/03/11,COM,Жена,30 - 39,1
2021/03/11,COM,Мъж,60 - 69,1
2021/03/11,COM,Жена,40 - 49,1
2021/03/11,COM,Мъж,50 - 59,1
2021/03/11,COM,Жена,20 - 29,1
2021/03/12,COM,Жена,50 - 59,1
2021/03/12,COM,Мъж,40 - 49,1
2021/03/12,COM,Жена,60 - 69,1
2021/03/12,COM,Мъж,70 - 79,1
2021/03/13,COM,Жена,70 - 79,1
2021/03/13,COM,Жена,60 - 69,1
2021/03/13,COM,Жена,40 - 49,1
2021/03/14,COM,Жена,80 - 89,1
2021/03/15,COM,Жена,40 - 49,1
2021/03/15,COM,Мъж,60 - 69,3
2021/03/15,COM,Жена,30 - 39,2
2021/03/15,COM,Жена,80 - 89,2
2021/03/15,COM,Мъж,70 - 79,2
2021/03/15,COM,Мъж,80 - 89,1
2021/03/15,COM,Мъж,50 - 59,1
2021/03/15,COM,Жена,60 - 69,1
2021/03/16,COM,Жена,30 - 39,2
2021/03/16,COM,Жена,90+,2
2021/03/16,COM,Жена,70 - 79,1
2021/03/16,COM,Жена,50 - 59,3
2021/03/16,MOD,Жена,50 - 59,1
2021/03/16,COM,Мъж,50 - 59,1
2021/03/17,COM,Мъж,40 - 49,1
2021/03/17,COM,Мъж,60 - 69,1
2021/03/17,COM,Мъж,70 - 79,2
2021/03/17,COM,Жена,50 - 59,4
2021/03/17,COM,Жена,40 - 49,1
2021/03/18,COM,Жена,40 - 49,1
2021/03/18,COM,Мъж,40 - 49,1
2021/03/18,COM,Мъж,30 - 39,1
2021/03/18,COM,Жена,50 - 59,2
2021/03/18,COM,Жена,60 - 69,1
2021/03/19,COM,Мъж,60 - 69,1
2021/03/19,COM,Мъж,50 - 59,1
2021/03/19,COM,Жена,50 - 59,1
2021/03/19,COM,Жена,80 - 89,1
2021/03/19,COM,Жена,60 - 69,1
2021/03/20,COM,Мъж,50 - 59,1
2021/03/20,COM,Жена,30 - 39,1
2021/03/20,COM,Жена,50 - 59,1
2021/03/21,COM,Жена,40 - 49,1
2021/03/22,COM,Жена,40 - 49,1
2021/03/22,COM,Мъж,60 - 69,2
2021/03/22,COM,Жена,20 - 29,1
2021/03/22,COM,Жена,70 - 79,1
2021/03/22,COM,Жена,50 - 59,2
2021/03/22,COM,Жена,60 - 69,3
2021/03/23,COM,Жена,40 - 49,2
2021/03/23,COM,Жена,50 - 59,1
2021/03/23,COM,Жена,60 - 69,1
2021/03/23,COM,Мъж,30 - 39,2
2021/03/24,COM,Жена,70 - 79,1
2021/03/24,COM,Жена,60 - 69,1
2021/03/24,COM,Мъж,70 - 79,1
2021/03/24,COM,Жена,40 - 49,1
2021/03/24,COM,Мъж,60 - 69,1
2021/03/25,COM,Жена,30 - 39,2
2021/03/25,COM,Жена,80 - 89,1
2021/03/25,COM,Мъж,30 - 39,1
2021/03/25,COM,Жена,50 - 59,1
2021/03/25,COM,Мъж,50 - 59,1
2021/03/25,MOD,Жена,70 - 79,1
2021/03/25,COM,Жена,60 - 69,1
2021/03/25,COM,Мъж,60 - 69,1
2021/03/26,COM,Жена,50 - 59,3
2021/03/26,COM,Жена,40 - 49,4
2021/03/26,COM,Мъж,60 - 69,1
2021/03/26,COM,Жена,60 - 69,1
2021/03/26,COM,Мъж,50 - 59,1
2021/03/27,COM,Жена,50 - 59,2
2021/03/27,COM,Мъж,40 - 49,1
2021/03/27,COM,Жена,60 - 69,1
2021/03/28,COM,Жена,50 - 59,1
2021/03/28,COM,Жена,60 - 69,1
2021/03/28,COM,Жена,40 - 49,1
2021/03/28,COM,Мъж,40 - 49,1
2021/03/29,COM,Жена,50 - 59,1
2021/03/29,COM,Мъж,50 - 59,1
2021/03/29,COM,Мъж,40 - 49,1
2021/03/29,COM,Жена,80 - 89,1
2021/03/29,COM,Жена,40 - 49,1
2021/03/29,COM,Жена,60 - 69,1
2021/03/29,COM,Мъж,60 - 69,1
2021/03/29,COM,Жена,30 - 39,1
2021/03/29,COM,Мъж,30 - 39,1
2021/03/30,COM,Мъж,40 - 49,1
2021/03/30,COM,Жена,50 - 59,4
2021/03/31,COM,Жена,70 - 79,2
2021/03/31,COM,Мъж,60 - 69,1
2021/03/31,COM,Мъж,50 - 59,1
2021/03/31,COM,Жена,50 - 59,1
2021/03/31,COM,Жена,60 - 69,2
2021/04/01,COM,Жена,60 - 69,3
2021/04/01,COM,Мъж,70 - 79,1
2021/04/01,COM,Мъж,30 - 39,1
2021/04/01,COM,Жена,40 - 49,1
2021/04/01,COM,Жена,20 - 29,1
2021/04/01,COM,Жена,50 - 59,2
2021/04/01,COM,Мъж,90+,1
2021/04/02,COM,Жена,60 - 69,1
2021/04/02,COM,Жена,40 - 49,1
2021/04/02,COM,Жена,50 - 59,4
2021/04/02,COM,Мъж,40 - 49,1
2021/04/02,COM,Мъж,20 - 29,1
2021/04/03,COM,Жена,50 - 59,1
2021/04/03,COM,Жена,60 - 69,3
2021/04/03,COM,Жена,30 - 39,1
2021/04/04,COM,Жена,80 - 89,1
2021/04/05,COM,Жена,50 - 59,2
2021/04/05,COM,Мъж,30 - 39,1
2021/04/05,COM,Жена,60 - 69,1
2021/04/05,COM,Жена,40 - 49,3
2021/04/06,COM,Мъж,50 - 59,1
2021/04/06,COM,Жена,60 - 69,1
2021/04/06,COM,Мъж,40 - 49,2
2021/04/06,COM,Жена,50 - 59,3
2021/04/06,COM,Жена,30 - 39,2
2021/04/07,COM,Мъж,60 - 69,3
2021/04/07,COM,Жена,60 - 69,1
2021/04/07,COM,Жена,50 - 59,2
2021/04/07,COM,Жена,70 - 79,1
2021/04/08,COM,Жена,80 - 89,1
2021/04/08,COM,Жена,20 - 29,1
2021/04/08,COM,Жена,70 - 79,1
2021/04/08,COM,Мъж,30 - 39,1
2021/04/08,COM,Мъж,70 - 79,2
2021/04/08,COM,Мъж,50 - 59,1
2021/04/08,COM,Жена,50 - 59,3
2021/04/09,COM,Жена,60 - 69,1
2021/04/09,COM,Жена,30 - 39,1
2021/04/09,COM,Жена,50 - 59,4
2021/04/09,MOD,Жена,50 - 59,1
2021/04/09,COM,Мъж,40 - 49,1
2021/04/09,COM,Мъж,70 - 79,1
2021/04/10,COM,Жена,30 - 39,1
2021/04/10,COM,Мъж,70 - 79,1
2021/04/11,COM,Мъж,60 - 69,1
2021/04/11,MOD,Мъж,80 - 89,1
2021/04/11,COM,Жена,60 - 69,1
2021/04/12,COM,Жена,50 - 59,2
2021/04/12,COM,Мъж,60 - 69,4
2021/04/12,COM,Жена,70 - 79,1
2021/04/12,COM,Жена,60 - 69,2
2021/04/12,COM,Жена,30 - 39,1
2021/04/12,COM,Жена,40 - 49,1
2021/04/12,MOD,Жена,30 - 39,1
2021/04/13,COM,Жена,40 - 49,1
2021/04/13,MOD,Жена,80 - 89,1
2021/04/13,COM,Жена,50 - 59,3
2021/04/13,COM,Жена,60 - 69,1
2021/04/13,COM,Жена,30 - 39,2
2021/04/13,COM,Мъж,50 - 59,1
2021/04/14,COM,Жена,50 - 59,2
2021/04/14,COM,Жена,80 - 89,2
2021/04/14,MOD,Мъж,60 - 69,1
2021/04/14,COM,Мъж,80 - 89,2
2021/04/14,COM,Жена,60 - 69,3
2021/04/15,COM,Мъж,60 - 69,1
2021/04/15,COM,Мъж,70 - 79,1
2021/04/15,COM,Жена,60 - 69,1
2021/04/15,COM,Жена,30 - 39,1
2021/04/15,COM,Жена,20 - 29,1
2021/04/16,COM,Мъж,70 - 79,2
2021/04/16,COM,Жена,40 - 49,2
2021/04/17,COM,Жена,30 - 39,1
2021/04/17,COM,Жена,40 - 49,1
2021/04/19,COM,Мъж,30 - 39,2
2021/04/19,COM,Мъж,60 - 69,1
