Дата,Общо тестове,PCR тестове,Антигени тестове,Общо тестове за денонощие,PCR тестове за денонощие,Антигени тестове за денонощие,Установени случаи общо,Установени случаи чрез PCR,Установени случаи чрез антиген,Установени случаи за денонощие,Установени случаи за денонощие чрез PCR,Установени случаи за денонощие чрез антиген
2020/12/24,1119106,1117403,1703,6945,5242,1703,195886,195643,243,1615,1372,243
2020/12/25,1122775,1119810,2965,3669,2407,2965,196658,196270,388,772,627,145
2020/12/26,1124847,1120870,3977,2072,1060,3977,196915,196423,492,257,153,104
2020/12/27,1127820,1122629,5191,2973,1759,5191,197384,196739,645,469,316,153
2020/12/28,1130629,1124534,6095,2810,1906,6095,197716,196930,786,332,191,141
2020/12/29,1132996,1125546,7450,2369,1012,7450,198053,197119,934,337,189,148
2020/12/30,1141072,1129242,11830,8084,3703,11830,199491,197921,1570,1438,802,636
2020/12/31,1149545,1133846,15699,8475,4605,15699,201220,199019,2201,1729,1098,631
2021/01/01,1155283,1137437,17846,5739,3591,17846,202266,199763,2503,1046,744,302
2021/01/02,1157730,1139268,18462,2447,1831,18462,202540,199923,2617,274,160,114
2021/01/03,1160292,1141112,19180,2585,1867,19180,202880,200104,2776,340,181,159
2021/01/04,1162942,1142918,20024,2660,1816,20024,203051,200176,2875,171,72,99
2021/01/05,1173704,1148348,25356,10774,5435,25356,204080,200701,3379,1029,525,504
2021/01/06,1185140,1155635,29505,11456,7290,4166,205390,201624,3766,1310,923,387
2021/01/07,1195226,1161175,34051,10088,5541,4547,206392,202283,4109,1002,659,343
2021/01/08,1205134,1167253,37881,9911,6079,3832,207259,202866,4393,867,583,284
2021/01/09,1215002,1173731,41271,9871,6481,3390,208012,203338,4674,753,472,281
2021/01/10,1220910,1178389,42521,5910,4658,1252,208406,203614,4792,394,276,118
2021/01/11,1222539,1179345,43194,1629,956,673,208511,203656,4855,105,42,63
2021/01/12,1230338,1182835,47503,7804,3491,4313,209131,203978,5153,620,322,298
2021/01/13,1239980,1188218,51762,9647,5385,4262,209881,204474,5407,750,496,254
2021/01/14,1247545,1192369,55176,7570,4153,3417,210416,204815,5601,535,341,194
2021/01/15,1254976,1196298,58678,7439,3937,3502,210951,205138,5813,535,323,212
2021/01/16,1263825,1202033,61792,8850,5735,3115,211503,205474,6029,552,336,216
2021/01/17,1268453,1205354,63099,4628,3321,1307,211736,205624,6112,233,150,83
2021/01/18,1269647,1206119,63528,1194,765,429,211813,205659,6154,77,35,42
2021/01/19,1277606,1209115,68491,7964,3001,4963,212383,205956,6427,570,297,273
2021/01/20,1285526,1213185,72341,7921,4071,3850,212927,206294,6633,544,338,206
2021/01/21,1293578,1216861,76717,8057,3676,4381,213409,206596,6813,482,302,180
2021/01/22,1301250,1220426,80824,7674,3567,4107,213864,206869,6995,455,273,182
2021/01/23,1311036,1225012,86024,9786,4586,5200,214430,207183,7247,566,314,252
2021/01/24,1315515,1228028,87487,4479,3016,1463,214696,207365,7331,266,182,84
2021/01/25,1316722,1228630,88092,1207,602,605,214817,207434,7383,121,69,52
2021/01/26,1330261,1231893,98368,13540,3263,10277,215589,207793,7796,772,359,413
2021/01/27,1345912,1235981,109931,15656,4088,11568,216416,208323,8093,827,530,297
2021/01/28,1359188,1239669,119519,13279,3690,9589,217014,208689,8325,598,366,232
2021/01/29,1371485,1243616,127869,12297,3947,8350,217574,209026,8548,560,337,223
2021/01/30,1385067,1248587,136480,13583,4971,8612,218269,209418,8851,695,392,303
2021/01/31,1389599,1251695,137904,4532,3108,1424,218618,209640,8978,349,222,127
2021/02/01,1391560,1252661,138899,1962,967,995,218748,209702,9046,130,62,68
2021/02/02,1403129,1256021,147108,11576,3363,8213,219580,210093,9487,832,391,441
2021/02/03,1414581,1260702,153879,11452,4681,6771,220547,210697,9850,967,604,363
2021/02/04,1424456,1265082,159374,9876,4380,5496,221266,211146,10120,719,449,270
2021/02/05,1434996,1270542,164454,10541,5460,5081,222149,211682,10467,883,536,347
2021/02/06,1447456,1277242,170214,12463,6702,5761,223059,212200,10859,910,518,392
2021/02/07,1453189,1281162,172027,5733,3920,1813,223552,212522,11030,493,322,171
2021/02/08,1455852,1282752,173100,2663,1590,1073,223734,212628,11106,182,106,76
2021/02/09,1467489,1287325,180164,11637,4574,7063,224849,213198,11651,1115,570,545
2021/02/10,1480714,1293477,187237,13228,6153,7075,226061,213968,12093,1212,770,442
2021/02/11,1490877,1298438,192439,10164,4961,5203,226974,214514,12460,913,546,367
2021/02/12,1502690,1304808,197882,11816,6373,5443,228044,215184,12860,1070,670,400
