,date,province,total_cases,new_cases
0,2020-06-07,Burgas,54,0.0
1,2020-06-08,Burgas,54,0.0
2,2020-06-09,Burgas,54,0.0
3,2020-06-10,Burgas,56,2.0
4,2020-06-11,Burgas,56,0.0
5,2020-06-12,Burgas,57,1.0
6,2020-06-13,Burgas,57,0.0
7,2020-06-14,Burgas,57,0.0
8,2020-06-15,Burgas,57,0.0
9,2020-06-16,Burgas,57,0.0
10,2020-06-17,Burgas,57,0.0
11,2020-06-18,Burgas,57,0.0
12,2020-06-19,Burgas,58,1.0
13,2020-06-20,Burgas,58,0.0
14,2020-06-21,Burgas,61,3.0
15,2020-06-22,Burgas,62,1.0
16,2020-06-23,Burgas,66,4.0
17,2020-06-24,Burgas,75,9.0
18,2020-06-25,Burgas,80,5.0
19,2020-06-26,Burgas,84,4.0
20,2020-06-27,Burgas,99,15.0
21,2020-06-28,Burgas,107,8.0
22,2020-06-29,Burgas,108,1.0
23,2020-06-30,Burgas,113,5.0
24,2020-07-01,Burgas,117,4.0
25,2020-07-02,Burgas,124,7.0
26,2020-07-03,Burgas,132,8.0
27,2020-07-04,Burgas,133,1.0
28,2020-07-05,Burgas,141,8.0
29,2020-07-06,Burgas,141,0.0
30,2020-07-07,Burgas,141,0.0
31,2020-07-08,Burgas,147,6.0
32,2020-07-09,Burgas,151,4.0
33,2020-07-10,Burgas,156,5.0
34,2020-07-11,Burgas,167,11.0
35,2020-07-12,Burgas,179,12.0
36,2020-07-13,Burgas,184,5.0
37,2020-07-14,Burgas,184,0.0
38,2020-07-15,Burgas,194,10.0
39,2020-07-16,Burgas,208,14.0
40,2020-07-17,Burgas,222,14.0
41,2020-07-18,Burgas,223,1.0
42,2020-07-19,Burgas,242,19.0
43,2020-07-20,Burgas,243,1.0
44,2020-07-21,Burgas,250,7.0
45,2020-07-22,Burgas,255,5.0
46,2020-07-23,Burgas,271,16.0
47,2020-07-24,Burgas,277,6.0
48,2020-07-25,Burgas,286,9.0
49,2020-07-26,Burgas,290,4.0
50,2020-07-27,Burgas,295,5.0
51,2020-07-28,Burgas,301,6.0
52,2020-07-29,Burgas,309,8.0
53,2020-07-30,Burgas,316,7.0
54,2020-07-31,Burgas,323,7.0
55,2020-08-01,Burgas,332,9.0
56,2020-08-02,Burgas,333,1.0
57,2020-08-03,Burgas,334,1.0
58,2020-08-04,Burgas,335,1.0
59,2020-08-05,Burgas,344,9.0
60,2020-08-06,Burgas,347,3.0
61,2020-08-07,Burgas,357,10.0
62,2020-08-08,Burgas,363,6.0
63,2020-08-09,Burgas,364,1.0
64,2020-08-10,Burgas,364,0.0
65,2020-08-11,Burgas,367,3.0
66,2020-08-12,Burgas,372,5.0
67,2020-08-13,Burgas,373,1.0
68,2020-08-14,Burgas,377,4.0
69,2020-08-15,Burgas,381,4.0
70,2020-08-16,Burgas,383,2.0
71,2020-08-17,Burgas,383,0.0
72,2020-08-18,Burgas,384,1.0
73,2020-08-19,Burgas,390,6.0
74,2020-08-20,Burgas,393,3.0
75,2020-08-21,Burgas,396,3.0
76,2020-08-22,Burgas,399,3.0
77,2020-08-23,Burgas,400,1.0
78,2020-08-24,Burgas,402,2.0
79,2020-08-25,Burgas,406,4.0
80,2020-08-26,Burgas,416,10.0
81,2020-08-27,Burgas,417,1.0
82,2020-08-28,Burgas,418,1.0
83,2020-08-29,Burgas,421,3.0
84,2020-08-30,Burgas,427,6.0
85,2020-08-31,Burgas,427,0.0
86,2020-09-01,Burgas,429,2.0
87,2020-09-02,Burgas,455,26.0
88,2020-09-03,Burgas,464,9.0
89,2020-09-04,Burgas,466,2.0
90,2020-09-05,Burgas,469,3.0
91,2020-09-06,Burgas,491,22.0
92,2020-09-07,Burgas,492,1.0
93,2020-09-08,Burgas,499,7.0
94,2020-09-09,Burgas,513,14.0
95,2020-09-10,Burgas,528,15.0
96,2020-09-11,Burgas,535,7.0
97,2020-09-12,Burgas,547,12.0
98,2020-09-13,Burgas,549,2.0
99,2020-09-14,Burgas,549,0.0
100,2020-09-15,Burgas,573,24.0
101,2020-09-16,Burgas,582,9.0
102,2020-09-17,Burgas,596,14.0
103,2020-09-18,Burgas,605,9.0
104,2020-09-19,Burgas,611,6.0
105,2020-09-20,Burgas,615,4.0
106,2020-09-21,Burgas,616,1.0
107,2020-09-22,Burgas,632,16.0
108,2020-09-23,Burgas,641,9.0
109,2020-09-24,Burgas,666,25.0
110,2020-09-25,Burgas,682,16.0
111,2020-09-26,Burgas,706,24.0
112,2020-09-27,Burgas,716,10.0
113,2020-09-28,Burgas,718,2.0
114,2020-09-29,Burgas,782,64.0
115,2020-09-30,Burgas,806,24.0
116,2020-10-01,Burgas,825,19.0
117,2020-10-02,Burgas,843,18.0
118,2020-10-03,Burgas,869,26.0
119,2020-10-04,Burgas,875,6.0
120,2020-10-05,Burgas,879,4.0
121,2020-10-06,Burgas,886,7.0
122,2020-10-07,Burgas,924,38.0
123,2020-10-08,Burgas,952,28.0
124,2020-10-09,Burgas,983,31.0
125,2020-10-10,Burgas,1011,28.0
126,2020-10-11,Burgas,1016,5.0
127,2020-10-12,Burgas,1016,0.0
128,2020-10-13,Burgas,1058,42.0
129,2020-10-14,Burgas,1089,31.0
130,2020-10-15,Burgas,1122,33.0
131,2020-10-16,Burgas,1184,62.0
132,2020-10-17,Burgas,1229,45.0
