province,date,new_cases
Blagoevgrad,2020-07-07,7.0
Blagoevgrad,2020-07-08,10.0
Blagoevgrad,2020-07-09,17.0
Blagoevgrad,2020-07-10,19.0
Blagoevgrad,2020-07-11,19.0
Blagoevgrad,2020-07-12,13.0
Blagoevgrad,2020-07-13,7.0
Blagoevgrad,2020-07-14,2.0
Blagoevgrad,2020-07-15,19.0
Blagoevgrad,2020-07-16,15.0
Blagoevgrad,2020-07-17,15.0
Blagoevgrad,2020-07-18,12.0
Blagoevgrad,2020-07-19,28.0
Blagoevgrad,2020-07-20,9.0
Blagoevgrad,2020-07-21,6.0
Blagoevgrad,2020-07-22,25.0
Blagoevgrad,2020-07-23,35.0
Blagoevgrad,2020-07-24,34.0
Blagoevgrad,2020-07-25,26.0
Blagoevgrad,2020-07-26,15.0
Blagoevgrad,2020-07-27,20.0
Blagoevgrad,2020-07-28,19.0
Blagoevgrad,2020-07-29,22.0
Blagoevgrad,2020-07-30,38.0
Blagoevgrad,2020-07-31,28.0
Blagoevgrad,2020-08-01,55.0
Blagoevgrad,2020-08-02,11.0
Blagoevgrad,2020-08-03,1.0
Blagoevgrad,2020-08-04,10.0
Blagoevgrad,2020-08-05,43.0
Blagoevgrad,2020-08-06,97.0
Blagoevgrad,2020-08-07,13.0
Blagoevgrad,2020-08-08,23.0
Blagoevgrad,2020-08-09,15.0
Blagoevgrad,2020-08-10,5.0
Blagoevgrad,2020-08-11,11.0
Blagoevgrad,2020-08-12,24.0
Blagoevgrad,2020-08-13,23.0
Blagoevgrad,2020-08-14,35.0
Blagoevgrad,2020-08-15,20.0
Blagoevgrad,2020-08-16,14.0
Blagoevgrad,2020-08-17,6.0
Blagoevgrad,2020-08-18,12.0
Blagoevgrad,2020-08-19,28.0
Blagoevgrad,2020-08-20,24.0
Blagoevgrad,2020-08-21,11.0
Blagoevgrad,2020-08-22,21.0
Blagoevgrad,2020-08-23,16.0
Blagoevgrad,2020-08-24,17.0
Blagoevgrad,2020-08-25,7.0
Blagoevgrad,2020-08-26,36.0
Blagoevgrad,2020-08-27,22.0
Blagoevgrad,2020-08-28,21.0
Blagoevgrad,2020-08-29,19.0
Blagoevgrad,2020-08-30,25.0
Blagoevgrad,2020-08-31,4.0
