province,date,new_cases
Blagoevgrad,2020-07-07,9.0
Blagoevgrad,2020-07-08,11.0
Blagoevgrad,2020-07-09,12.0
Blagoevgrad,2020-07-10,13.0
Blagoevgrad,2020-07-11,13.0
Blagoevgrad,2020-07-12,13.0
Blagoevgrad,2020-07-13,13.0
Blagoevgrad,2020-07-14,13.0
Blagoevgrad,2020-07-15,13.0
Blagoevgrad,2020-07-16,14.0
Blagoevgrad,2020-07-17,14.0
Blagoevgrad,2020-07-18,15.0
Blagoevgrad,2020-07-19,17.0
Blagoevgrad,2020-07-20,19.0
Blagoevgrad,2020-07-21,20.0
Blagoevgrad,2020-07-22,22.0
Blagoevgrad,2020-07-23,23.0
Blagoevgrad,2020-07-24,23.0
Blagoevgrad,2020-07-25,24.0
Blagoevgrad,2020-07-26,25.0
Blagoevgrad,2020-07-27,25.0
Blagoevgrad,2020-07-28,26.0
Blagoevgrad,2020-07-29,26.0
Blagoevgrad,2020-07-30,26.0
Blagoevgrad,2020-07-31,26.0
Blagoevgrad,2020-08-01,26.0
Blagoevgrad,2020-08-02,29.0
Blagoevgrad,2020-08-03,30.0
Blagoevgrad,2020-08-04,31.0
Blagoevgrad,2020-08-05,31.0
Blagoevgrad,2020-08-06,30.0
Blagoevgrad,2020-08-07,29.0
Blagoevgrad,2020-08-08,27.0
Blagoevgrad,2020-08-09,25.0
Blagoevgrad,2020-08-10,22.0
Blagoevgrad,2020-08-11,18.0
Blagoevgrad,2020-08-12,19.0
Blagoevgrad,2020-08-13,19.0
Blagoevgrad,2020-08-14,19.0
Blagoevgrad,2020-08-15,20.0
Blagoevgrad,2020-08-16,19.0
Blagoevgrad,2020-08-17,18.0
Blagoevgrad,2020-08-18,18.0
Blagoevgrad,2020-08-19,17.0
Blagoevgrad,2020-08-20,17.0
Blagoevgrad,2020-08-21,17.0
Blagoevgrad,2020-08-22,18.0
Blagoevgrad,2020-08-23,19.0
Blagoevgrad,2020-08-24,19.0
Blagoevgrad,2020-08-25,19.0
Blagoevgrad,2020-08-26,21.0
Blagoevgrad,2020-08-27,20.0
Blagoevgrad,2020-08-28,19.0
Blagoevgrad,2020-08-29,19.0
Blagoevgrad,2020-08-30,20.0
Blagoevgrad,2020-08-31,19.0
Blagoevgrad,2020-09-01,20.0
Blagoevgrad,2020-09-02,21.0
Blagoevgrad,2020-09-03,22.0
Blagoevgrad,2020-09-04,21.0
Blagoevgrad,2020-09-05,21.0
Blagoevgrad,2020-09-06,21.0
Blagoevgrad,2020-09-07,19.0
Blagoevgrad,2020-09-08,20.0
Blagoevgrad,2020-09-09,21.0
Blagoevgrad,2020-09-10,21.0
Blagoevgrad,2020-09-11,21.0
Blagoevgrad,2020-09-12,22.0
Blagoevgrad,2020-09-13,22.0
Blagoevgrad,2020-09-14,22.0
Blagoevgrad,2020-09-15,23.0
Blagoevgrad,2020-09-16,22.0
Blagoevgrad,2020-09-17,20.0
Blagoevgrad,2020-09-18,20.0
Blagoevgrad,2020-09-19,21.0
Blagoevgrad,2020-09-20,19.0
Blagoevgrad,2020-09-21,20.0
Blagoevgrad,2020-09-22,21.0
Blagoevgrad,2020-09-23,22.0
Blagoevgrad,2020-09-24,23.0
Blagoevgrad,2020-09-25,23.0
Blagoevgrad,2020-09-26,25.0
Blagoevgrad,2020-09-27,26.0
Blagoevgrad,2020-09-28,26.0
Blagoevgrad,2020-09-29,26.0
Blagoevgrad,2020-09-30,23.0
Blagoevgrad,2020-10-01,22.0
Blagoevgrad,2020-10-02,21.0
Blagoevgrad,2020-10-03,21.0
Blagoevgrad,2020-10-04,21.0
Blagoevgrad,2020-10-05,21.0
Blagoevgrad,2020-10-06,24.0
Blagoevgrad,2020-10-07,29.0
Blagoevgrad,2020-10-08,32.0
Blagoevgrad,2020-10-09,36.0
Blagoevgrad,2020-10-10,41.0
Blagoevgrad,2020-10-11,45.0
Blagoevgrad,2020-10-12,50.0
Blagoevgrad,2020-10-13,53.0
Blagoevgrad,2020-10-14,55.0
Blagoevgrad,2020-10-15,53.0
Blagoevgrad,2020-10-16,53.0
Blagoevgrad,2020-10-17,55.0
Blagoevgrad,2020-10-18,53.0
Blagoevgrad,2020-10-19,53.0
Blagoevgrad,2020-10-20,58.0
Blagoevgrad,2020-10-21,60.0
Blagoevgrad,2020-10-22,62.0
Blagoevgrad,2020-10-23,70.0
Blagoevgrad,2020-10-24,75.0
Blagoevgrad,2020-10-25,83.0
Blagoevgrad,2020-10-26,90.0
Blagoevgrad,2020-10-27,100.0
Blagoevgrad,2020-10-28,102.0
Blagoevgrad,2020-10-29,103.0
Blagoevgrad,2020-10-30,108.0
Blagoevgrad,2020-10-31,115.0
Blagoevgrad,2020-11-01,118.0
Blagoevgrad,2020-11-02,127.0
Blagoevgrad,2020-11-03,139.0
Blagoevgrad,2020-11-04,146.0
Blagoevgrad,2020-11-05,147.0
Blagoevgrad,2020-11-06,155.0
Blagoevgrad,2020-11-07,161.0
Blagoevgrad,2020-11-08,161.0
Blagoevgrad,2020-11-09,161.0
Blagoevgrad,2020-11-10,163.0
Blagoevgrad,2020-11-11,161.0
Blagoevgrad,2020-11-12,152.0
Blagoevgrad,2020-11-13,158.0
Blagoevgrad,2020-11-14,161.0
Blagoevgrad,2020-11-15,158.0
Blagoevgrad,2020-11-16,157.0
Blagoevgrad,2020-11-17,160.0
