date,total_recoveries
2020-06-06,
2020-06-07,17.0
2020-06-08,3.0
2020-06-09,39.0
2020-06-10,36.0
2020-06-11,41.0
2020-06-12,24.0
2020-06-13,28.0
2020-06-14,7.0
2020-06-15,7.0
2020-06-16,54.0
2020-06-17,33.0
2020-06-18,63.0
2020-06-19,61.0
2020-06-20,67.0
2020-06-21,19.0
2020-06-22,47.0
2020-06-23,97.0
2020-06-24,46.0
2020-06-25,46.0
2020-06-26,107.0
2020-06-27,87.0
2020-06-28,18.0
2020-06-29,33.0
2020-06-30,74.0
2020-07-01,94.0
2020-07-02,46.0
2020-07-03,80.0
2020-07-04,90.0
2020-07-05,6.0
2020-07-06,17.0
2020-07-07,85.0
2020-07-08,37.0
2020-07-09,129.0
2020-07-10,63.0
2020-07-11,79.0
2020-07-12,3.0
2020-07-13,8.0
2020-07-14,198.0
2020-07-15,146.0
2020-07-16,178.0
2020-07-17,86.0
2020-07-18,106.0
2020-07-19,48.0
2020-07-20,25.0
2020-07-21,99.0
2020-07-22,316.0
2020-07-23,122.0
2020-07-24,388.0
2020-07-25,221.0
2020-07-26,54.0
2020-07-27,49.0
2020-07-28,230.0
2020-07-29,181.0
2020-07-30,205.0
2020-07-31,202.0
2020-08-01,146.0
2020-08-02,77.0
2020-08-03,24.0
2020-08-04,264.0
2020-08-05,280.0
2020-08-06,190.0
2020-08-07,220.0
2020-08-08,248.0
2020-08-09,96.0
2020-08-10,54.0
2020-08-11,208.0
2020-08-12,174.0
2020-08-13,325.0
2020-08-14,422.0
2020-08-15,213.0
2020-08-16,47.0
2020-08-17,25.0
2020-08-18,256.0
2020-08-19,257.0
2020-08-20,232.0
2020-08-21,156.0
2020-08-22,195.0
2020-08-23,40.0
2020-08-24,16.0
2020-08-25,159.0
2020-08-26,104.0
2020-08-27,149.0
2020-08-28,294.0
2020-08-29,187.0
2020-08-30,22.0
2020-08-31,60.0
2020-09-01,170.0
2020-09-02,132.0
2020-09-03,145.0
2020-09-04,175.0
2020-09-05,111.0
2020-09-06,86.0
2020-09-07,25.0
2020-09-08,32.0
2020-09-09,108.0
2020-09-10,177.0
2020-09-11,145.0
2020-09-12,131.0
2020-09-13,8.0
2020-09-14,9.0
2020-09-15,163.0
2020-09-16,127.0
2020-09-17,184.0
2020-09-18,150.0
2020-09-19,119.0
2020-09-20,48.0
2020-09-21,22.0
2020-09-22,147.0
2020-09-23,21.0
2020-09-24,119.0
2020-09-25,146.0
2020-09-26,119.0
2020-09-27,28.0
2020-09-28,16.0
2020-09-29,163.0
2020-09-30,150.0
2020-10-01,145.0
2020-10-02,153.0
2020-10-03,152.0
2020-10-04,45.0
2020-10-05,30.0
2020-10-06,165.0
2020-10-07,131.0
2020-10-08,138.0
2020-10-09,115.0
2020-10-10,150.0
2020-10-11,105.0
2020-10-12,29.0
2020-10-13,128.0
2020-10-14,164.0
2020-10-15,350.0
2020-10-16,189.0
2020-10-17,197.0
2020-10-18,37.0
2020-10-19,31.0
2020-10-20,210.0
2020-10-21,261.0
2020-10-22,184.0
2020-10-23,235.0
2020-10-24,269.0
2020-10-25,130.0
2020-10-26,122.0
2020-10-27,296.0
2020-10-28,293.0
2020-10-29,216.0
2020-10-30,536.0
2020-10-31,182.0
2020-11-01,168.0
2020-11-02,485.0
2020-11-03,507.0
2020-11-04,507.0
2020-11-05,403.0
2020-11-06,762.0
2020-11-07,727.0
2020-11-08,369.0
2020-11-09,603.0
2020-11-10,875.0
2020-11-11,516.0
2020-11-12,915.0
2020-11-13,873.0
2020-11-14,682.0
2020-11-15,536.0
2020-11-16,570.0
2020-11-17,942.0
2020-11-18,1219.0
2020-11-19,944.0
2020-11-20,847.0
2020-11-21,1061.0
2020-11-22,1364.0
2020-11-23,772.0
2020-11-24,1702.0
2020-11-25,1876.0
2020-11-26,2518.0
2020-11-27,2255.0
2020-11-28,1865.0
2020-11-29,1039.0
2020-11-30,815.0
2020-12-01,1971.0
2020-12-02,2435.0
2020-12-03,2206.0
2020-12-04,1935.0
2020-12-05,2536.0
2020-12-06,996.0
2020-12-07,1573.0
2020-12-08,3370.0
2020-12-09,3412.0
2020-12-10,3050.0
2020-12-11,3154.0
2020-12-12,4290.0
2020-12-13,2235.0
2020-12-14,1963.0
2020-12-15,1858.0
2020-12-16,2357.0
2020-12-17,2575.0
2020-12-18,3218.0
2020-12-19,2894.0
2020-12-20,1404.0
2020-12-21,1732.0
2020-12-22,2908.0
2020-12-23,2424.0
2020-12-24,1375.0
2020-12-25,1215.0
2020-12-26,1186.0
2020-12-27,876.0
2020-12-28,1266.0
2020-12-29,1475.0
2020-12-30,2919.0
2020-12-31,2933.0
2021-01-01,1192.0
2021-01-02,816.0
2021-01-03,1124.0
2021-01-04,944.0
2021-01-05,2213.0
2021-01-06,2142.0
2021-01-07,2023.0
2021-01-08,1402.0
2021-01-09,3831.0
2021-01-10,542.0
2021-01-11,695.0
2021-01-12,2583.0
2021-01-13,2706.0
2021-01-14,3094.0
2021-01-15,6728.0
2021-01-16,5660.0
2021-01-17,296.0
2021-01-18,396.0
2021-01-19,7533.0
2021-01-20,6243.0
2021-01-21,4600.0
2021-01-22,2256.0
2021-01-23,1248.0
2021-01-24,286.0
2021-01-25,180.0
2021-01-26,1059.0
2021-01-27,868.0
2021-01-28,627.0
